doc,authors,institution,language,status_article,pages,year,date,country,city,latitud,longitud
59336,Debora Nayar Hoff,Universidade Federal do Pampa - UNIPAMPA,pt_BR,Published,24,2015,2015-10-14 14:17:19,Brazil,Bage,303.945.182,943.451.345
59336,Daniel Gomes Mesquita,Universidade Federal do Pampa - UNIPAMPA,pt_BR,Published,24,2015,2015-10-14 14:17:19,Brazil,Bage,303.945.182,943.451.345
85091,Gabriella Lopes Andrade,Universidade Federal do Pampa - Unipampa,en_US,Published,9,2018,2018-07-23 19:38:04,Brazil,Bage,303.945.182,943.451.345
85091,Marcia Cristina Cera,Universidade Federal do Pampa - Unipampa,en_US,Published,9,2018,2018-07-23 19:38:04,Brazil,Bage,303.945.182,943.451.345
25948,João Pablo Silva da Silva,Universidade Federal do Pampa - Unipampa,pt_BR,Published,17,2012,2012-02-14 14:31:54,Brazil,Bage,303.945.182,943.451.345
97479,Filipe Saraiva,Universidade Federal do Pará - UFPA,en_US,Published,12,2019,2019-10-18 10:54:29,Brazil,Belem,-145.056,-484.682.453
11066,Luciana Maria Azevedo Nascimento,Universidade Federal do Pará - UFPA,pt_BR,Published,13,2009,2009-10-23 16:17:19,Brazil,Belem,-145.056,-484.682.453
11066,Carla Alessandra Lima Reis,Universidade Federal do Pará - UFPA,pt_BR,Published,13,2009,2009-10-23 16:17:19,Brazil,Belem,-145.056,-484.682.453
97479,Italo Ramon da Costa Campos,Universidade Federal do Pará - UFPA,en_US,Published,12,2019,2019-10-18 10:54:29,Brazil,Belem,-145.056,-484.682.453
11066,Talita Vieira Ribeiro,Universidade Federal do Pará - UFPA,pt_BR,Published,13,2009,2009-10-23 16:17:19,Brazil,Belem,-145.056,-484.682.453
11066,Rodrigo Quites Reis,Universidade Federal do Pará - UFPA,pt_BR,Published,13,2009,2009-10-23 16:17:19,Brazil,Belem,-145.056,-484.682.453
11066,Adailton Magalhães Lima,Universidade Federal do Pará - UFPA,pt_BR,Published,13,2009,2009-10-23 16:17:19,Brazil,Belem,-145.056,-484.682.453
121425,Daniel W. S. Rocha,"Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais - IFMG",en_US,Published,10,2022,2022-01-07 19:47:24,Brazil,Belo Horizonte,-199.227.318,-439.450.948
51452,Juliana Carvalho Tavares,Universidade Federal de Minas Gerais - UFMG,pt_BR,Published,22,2014,2014-11-10 10:42:18,Brazil,Belo Horizonte,-199.227.318,-439.450.948
6012,Bruno Evangelista,Universidade Federal de Minas Gerais - UFMG,pt_BR,Published,43,2008,2008-09-24 10:35:17,Brazil,Belo Horizonte,-199.227.318,-439.450.948
121425,Eduardo Cardoso Melo,"Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais - IFMG",en_US,Published,10,2022,2022-01-07 19:47:24,Brazil,Belo Horizonte,-199.227.318,-439.450.948
18244,Daniel da Silva Diogo Lara,Universidade Federal de Minas Gerais - UFMG,pt_BR,Published,16,2011,2011-01-20 14:40:02,Brazil,Belo Horizonte,-199.227.318,-439.450.948
51452,Danielle Bernardes,Universidade Federal de Minas Gerais - UFMG,pt_BR,Published,22,2014,2014-11-10 10:42:18,Brazil,Belo Horizonte,-199.227.318,-439.450.948
