NA.;NA..1;NA..2;NA..3;NA..4;NA..5
Aerospace and electronic systems;Aerospace control;;;;
Aerospace and electronic systems;Aerospace control;Air traffic control;;;
Aerospace and electronic systems;Aerospace control;Air traffic control;Attitude control;;
Aerospace and electronic systems;Aerospace control;Air traffic control;Ground support;;
Aerospace and electronic systems;Aerospace engineering;;;;
Aerospace and electronic systems;Aerospace engineering;Aerospace biophysics;;;
Aerospace and electronic systems;Aerospace engineering;Aerospace biophysics;Aerospace electronics;;
Aerospace and electronic systems;Aerospace engineering;Aerospace biophysics;Aerospace safety;;
Aerospace and electronic systems;Aerospace engineering;Aerospace biophysics;Aerospace safety;Air safety;
Aerospace and electronic systems;Aerospace engineering;Aerospace biophysics;Aerospace simulation;;
Aerospace and electronic systems;Aerospace engineering;Aerospace biophysics;Aerospace testing;;
Aerospace and electronic systems;Aerospace engineering;Aerospace biophysics;Aerospace testing;Wind tunnels;
Aerospace and electronic systems;Aerospace engineering;Aerospace biophysics;Artificial satellites;;
Aerospace and electronic systems;Aerospace engineering;Aerospace biophysics;Artificial satellites;Earth Observing System;
Aerospace and electronic systems;Aerospace engineering;Aerospace biophysics;Artificial satellites;Low earth orbit satellites;
Aerospace and electronic systems;Aerospace engineering;Aerospace biophysics;Artificial satellites;Military satellites;
Aerospace and electronic systems;Aerospace engineering;Aerospace biophysics;Artificial satellites;Space stations;
Aerospace and electronic systems;Aerospace engineering;Aerospace biophysics;Space technology;;
Aerospace and electronic systems;Aerospace engineering;Aerospace biophysics;Space technology;Payloads;
Aerospace and electronic systems;Aerospace engineering;Aerospace biophysics;Space technology;Space debris;
Aerospace and electronic systems;Aerospace engineering;Aerospace biophysics;Space technology;Space exploration;
Aerospace and electronic systems;Aerospace materials;;;;
Aerospace and electronic systems;Aerospace materials;Aerospace components;;;
Aerospace and electronic systems;Aircraft manufacture;;;;
Aerospace and electronic systems;Aircraft navigation;;;;
Aerospace and electronic systems;Aircraft propulsion;;;;
Aerospace and electronic systems;Aircraft propulsion;Propellers;;;
Aerospace and electronic systems;Command and control systems;;;;
Aerospace and electronic systems;Electronic warfare;;;;
Aerospace and electronic systems;Electronic warfare;Electronic countermeasures;;;
Aerospace and electronic systems;Electronic warfare;Electronic countermeasures;Jamming;;
Aerospace and electronic systems;Electronic warfare;Electronic countermeasures;Radar countermeasures;;
Aerospace and electronic systems;Military equipment;;;;
Aerospace and electronic systems;Military equipment;Military aircraft;;;
Aerospace and electronic systems;Military equipment;Military aircraft;Payloads;;
Aerospace and electronic systems;Military equipment;Military aircraft;Military satellites;;
Aerospace and electronic systems;Military equipment;Military aircraft;Military vehicles;;
Aerospace and electronic systems;Military equipment;Military aircraft;Weapons;;
Aerospace and electronic systems;Military equipment;Military aircraft;Weapons;Biological weapons;
Aerospace and electronic systems;Military equipment;Military aircraft;Weapons;Chemical weapons;
Aerospace and electronic systems;Military equipment;Military aircraft;Weapons;Guns;
Aerospace and electronic systems;Military equipment;Military aircraft;Weapons;Missiles;
Aerospace and electronic systems;Military equipment;Military aircraft;Weapons;Nuclear weapons;
Aerospace and electronic systems;Military equipment;Military aircraft;Weapons;Projectiles;
Aerospace and electronic systems;Military equipment;Military aircraft;Weapons;Weapons of mass destruction;
Aerospace and electronic systems;Sensor systems;;;;
Aerospace and electronic systems;Sensor systems;Activity recognition;;;
Aerospace and electronic systems;Sensor systems;Activity recognition;Human activity recognition;;
Aerospace and electronic systems;Sensor systems;Activity recognition;Gunshot detection systems;;
Aerospace and electronic systems;Sonar;;;;
Aerospace and electronic systems;Sonar;Side-scan sonar;;;
Aerospace and electronic systems;Sonar;Side-scan sonar;Sonar applications;;
Aerospace and electronic systems;Sonar;Side-scan sonar;Sonar applications;Sonar detection;
Aerospace and electronic systems;Sonar;Side-scan sonar;Sonar applications;Sonar measurements;
Aerospace and electronic systems;Sonar;Side-scan sonar;Sonar equipment;;
Aerospace and electronic systems;Sonar;Side-scan sonar;Sonar equipment;Echo sounders;
Aerospace and electronic systems;Sonar;Side-scan sonar;Synthetic aperture sonar;;
Aerospace and electronic systems;Telemetry;;;;
Aerospace and electronic systems;Telemetry;Biomedical telemetry;;;
Antennas and propagation;Antennas;;;;
Antennas and propagation;Antennas;Antenna accessories;;;
Antennas and propagation;Antennas;Antenna accessories;Radomes;;
Antennas and propagation;Antennas;Antenna accessories;Antenna arrays;;
Antennas and propagation;Antennas;Antenna accessories;Antenna arrays;Adaptive arrays;
Antennas and propagation;Antennas;Antenna accessories;Antenna arrays;Butler matrices;
Antennas and propagation;Antennas;Antenna accessories;Antenna arrays;Linear antenna arrays;
Antennas and propagation;Antennas;Antenna accessories;Antenna arrays;Log periodic antennas;
Antennas and propagation;Antennas;Antenna accessories;Antenna arrays;Microstrip antenna arrays;
Antennas and propagation;Antennas;Antenna accessories;Antenna arrays;Microwave antenna arrays;
Antennas and propagation;Antennas;Antenna accessories;Antenna arrays;Phased arrays;
Antennas and propagation;Antennas;Antenna accessories;Antenna arrays;Planar arrays;
Antennas and propagation;Antennas;Antenna accessories;Antenna radiation patterns;;
Antennas and propagation;Antennas;Antenna accessories;Antenna radiation patterns;Near-field radiation pattern;
Antennas and propagation;Antennas;Antenna accessories;Antenna theory;;
Antennas and propagation;Antennas;Antenna accessories;Antenna theory;Frequency selective surfaces;
Antennas and propagation;Antennas;Antenna accessories;Antenna-in-package;;
Antennas and propagation;Antennas;Antenna accessories;Apertures;;
Antennas and propagation;Antennas;Antenna accessories;Apertures;Aperture antennas;
Antennas and propagation;Antennas;Antenna accessories;Apertures;Aperture coupled antennas;
Antennas and propagation;Antennas;Antenna accessories;Broadband antennas;;
Antennas and propagation;Antennas;Antenna accessories;Broadband antennas;Ultra wideband antennas;
Antennas and propagation;Antennas;Antenna accessories;Broadband antennas;Vivaldi antennas;
Antennas and propagation;Antennas;Antenna accessories;Dielectric resonator antennas;;
Antennas and propagation;Antennas;Antenna accessories;Dipole antennas;;
Antennas and propagation;Antennas;Antenna accessories;Directional antennas;;
Antennas and propagation;Antennas;Antenna accessories;Directive antennas;;
Antennas and propagation;Antennas;Antenna accessories;Feeds;;
Antennas and propagation;Antennas;Antenna accessories;Feeds;Antenna feeds;
Antennas and propagation;Antennas;Antenna accessories;Fractal antennas;;
Antennas and propagation;Antennas;Antenna accessories;Helical antennas;;
Antennas and propagation;Antennas;Antenna accessories;Horn antennas;;
Antennas and propagation;Antennas;Antenna accessories;Leaky wave antennas;;
Antennas and propagation;Antennas;Antenna accessories;Loaded antennas;;
Antennas and propagation;Antennas;Antenna accessories;Log-periodic dipole antennas;;
Antennas and propagation;Antennas;Antenna accessories;Loop antennas;;
Antennas and propagation;Antennas;Antenna accessories;Microstrip antennas;;
Antennas and propagation;Antennas;Antenna accessories;Microwave antennas;;
Antennas and propagation;Antennas;Antenna accessories;Mobile antennas;;
Antennas and propagation;Antennas;Antenna accessories;Multifrequency antennas;;
Antennas and propagation;Antennas;Antenna accessories;Omnidirectional antennas;;
Antennas and propagation;Antennas;Antenna accessories;Optical antennas;;
Antennas and propagation;Antennas;Antenna accessories;Optical antennas;Nanoantennas;
Antennas and propagation;Antennas;Antenna accessories;Patch antennas;;
Antennas and propagation;Antennas;Antenna accessories;Radar antennas;;
