"Article ID","Article Title",Issue,"Date Published","Abstract Views","Total Galley Views",PDF,"PDF (Português (Brasil))","PDF ()","Sem título ()"
5683,"TVX - Time and Versions in XML","Vol. 14 No. 2 (2007)",2007-12-20,764,731,,731,,
5685,"Uma Proposta de Framework para Desenvolvimento de Aplicações Paralelas com Mobilidade","Vol. 14 No. 2 (2007)",2007-12-20,823,931,,931,,
5690,"Uma Introdução às Support Vector Machines","Vol. 14 No. 2 (2007)",2007-12-20,26344,51663,,51663,,
5691,"Técnicas probabilísticas para análise de yield em nível elétrico usando propagação de erros e derivadas numéricas","Vol. 14 No. 2 (2007)",2007-12-20,840,969,,969,,
5692,"Aplicação de Redes Neurais Artificiais na Classificação de Padrões Posturais em Crianças Respiradoras Bucais e Nasais","Vol. 14 No. 2 (2007)",2007-12-20,1810,2847,,2847,,
5693,"Performance Evaluation of CORBA Concurrency Control Service Using Stochastic Petri Nets","Vol. 14 No. 2 (2007)",2007-12-20,761,1047,,1047,,
5694,"Processos de Decisão de Markov: um tutorial","Vol. 14 No. 2 (2007)",2007-12-20,4903,9516,,9516,,
5695,"Aspectos sociotécnicos da computação: contextualizando o desenvolvimento de sistemas de computação com o modelo Mikropolis","Vol. 14 No. 2 (2007)",2007-12-20,1888,1691,,1691,,
5696,"Um Olhar Sociotécnico sobre a Engenharia de Software","Vol. 14 No. 2 (2007)",2007-12-20,2450,9613,,9613,,
5746,"Computer Vision and Graphics for Heritage Preservation and Digital Archaeology","Vol. 11 No. 1 (2004)",2004-06-25,751,1156,,1156,,
5759,Editorial,"Vol. 14 No. 2 (2007)",2007-12-20,539,554,,554,,
5956,"Revisores da RITA no JEMS","Vol. 14 No. 2 (2007)",2007-12-20,564,3064,,3064,,
5961,"An Introduction to Light Interaction with Human Skin","Vol. 11 No. 1 (2004)",2004-06-25,1446,1508,,1508,,
5962,"A Gentle Introduction to Predictive Filters","Vol. 11 No. 1 (2004)",2004-06-25,1157,9225,,9225,,
5963,"Java Advanced Imaging API: A Tutorial","Vol. 11 No. 1 (2004)",2004-06-25,1268,8010,,8010,,
5964,"Shader Programming: An Introduction Using the Effect Framework","Vol. 11 No. 1 (2004)",2004-06-25,763,2496,,2496,,
5978,"A Revista de Informática Teórica e Aplicada e as Tecnologias de Informação","Vol. 11 No. 2 (2004)",2004-12-20,616,724,,724,,
5979,"Uso de Aspectos para Verificar Regras de Instanciação de Frameworks","Vol. 11 No. 2 (2004)",2004-12-20,478,675,,675,,
5980,"AspectH: Uma Extensão Orientada a Aspectos de Haskel","Vol. 11 No. 2 (2004)",2004-12-20,742,776,,776,,
5981,"Making Medical Visual Information Available on the WEB","Vol. 11 No. 2 (2004)",2004-12-20,594,702,,702,,
5982,"Um Framework de Apoio à Colaboração no Projeto Distribuído de Sistemas Integrados","Vol. 11 No. 2 (2004)",2004-12-20,586,641,,641,,
5983,"Teorias da Aleatoriedade","Vol. 11 No. 2 (2004)",2004-12-20,852,9708,,9708,,
6011,"3D Compression: from A to Zip a first complete example","Vol. 15 No. 1 (2008)",2008-09-24,927,1056,,1056,,
6012,"Introdução ao XNA","Vol. 15 No. 1 (2008)",2008-09-24,818,2092,,2092,,
6014,"Steganography and Steganalysis in Digital Multimedia: Hype or Hallelujah?","Vol. 15 No. 1 (2008)",2008-09-24,996,842,,842,,
6015,"Navigation and Interaction in Graph Visualizations","Vol. 15 No. 1 (2008)",2008-09-24,795,1426,,1426,,
6016,"Dimensionality Reduction, Classification and Reconstruction Problems in Statistical Learning Approaches","Vol. 15 No. 1 (2008)",2008-09-24,863,802,,802,,
6024,Editorial,"Vol. 15 No. 1 (2008)",2008-09-24,476,494,,494,,
6025,"Editorial convidado","Vol. 15 No. 1 (2008)",2008-09-24,586,782,,782,,
6586,"Avaliação Pró-ativa da Deterioração de Sistemas de Informação por meio de Medidas de Gestão","Vol. 16 No. 1 (2009)",2010-03-08,557,0,,,,0
6865,Editorial,"Vol. 15 No. 3 (2008)",2009-04-17,548,526,,526,,
6867,"Guest Editors","Vol. 15 No. 3 (2008)",2009-04-17,624,520,,520,,
6998,"FORUM: Modelo e Linguagem para Especificação  de Regras em Ambientes Colaborativos","Vol. 15 No. 2 (2008)",2008-12-12,767,998,,998,,
6999,"Estabilidade de Classificadores de Decisão em Árvore Binária para Dados Imagem em Alta Dimensão","Vol. 15 No. 2 (2008)",2008-12-12,707,943,,943,,
7015,"On the Development and Evaluation of a Brazilian Portuguese Discourse Parser","Vol. 15 No. 2 (2008)",2008-12-12,1018,1066,,1066,,
7016,"Estratégias para a Combinação de Classificadores Binários em Soluções Multiclasses","Vol. 15 No. 2 (2008)",2008-12-12,1377,2123,,2123,,
7023,"Representação e Classificação de Texturas da Íris Baseada na Transformada Ótima de Gabor","Vol. 15 No. 2 (2008)",2008-12-12,707,938,,938,,
7024,"A Novel Method for Generating Scale Space Kernels Based on Wavelet Theory","Vol. 15 No. 2 (2008)",2008-12-12,764,869,,869,,
7029,"Proposta de Utilização do Diagrama de Seqüência para Definição de Casos de Teste de Unidade","Vol. 15 No. 2 (2008)",2008-12-12,885,2175,,2175,,
7031,"Reestruturação de Software Dirigida por Conectividade para Redução de Custo de Manutenção","Vol. 15 No. 2 (2008)",2008-12-12,1015,850,,850,,
7032,"Uma Proposta de Modelagem para a Generalização de Elos de Rastreabilidade","Vol. 15 No. 2 (2008)",2008-12-12,723,760,,760,,
7033,"Inspeção Automática de Defeitos em Madeiras de Pinus usando Visão Computacional","Vol. 15 No. 2 (2008)",2008-12-12,1121,1035,,1035,,
7146,Revisores,"Vol. 15 No. 2 (2008)",2008-12-12,576,1365,,505,,
7147,"Modelagem de Tráfego de Redes Utilizando Cascata Multifractal Generalizada","Vol. 15 No. 2 (2008)",2008-12-12,1333,1872,,1872,,
7148,Editorial,"Vol. 15 No. 2 (2008)",2008-12-12,524,478,,478,,
7386,"Posicionamento de Circuitos 3D Considerando o  Planejamento de 3D-Vias","Vol. 19 No. 1 (2012)",2012-06-14,860,917,,917,,
7522,"Gerenciando Alterações em Documentos XML","Vol. 17 No. 3 (2010)",2011-03-30,806,1176,,1176,,
7796,"Avaliação Pró-ativa da Deterioração de Sistemas de Informação por meio de Medidas de Gestão","Vol. 16 No. 1 (2009)",2010-03-08,594,0
7857,"Teoria espaço-escala: conceitos e abordagens","Vol. 17 No. 1 (2010)",2011-03-30,1295,1700,,1700,,
8046,"Desenvolvimento de uma rede neuro-fuzzy para predição da temperatura retal de frangos de corte","Vol. 17 No. 2 (2010)",2011-03-30,683,1426,,1426,,
8168,"Introdução à Programação de Propósito Geral em Hardware Gráfico","Vol. 17 No. 2 (2010)",2011-03-30,3419,2348,,2348,,
8260,"A Journey through Virtual and Augmented Reality - Reviewing the SVR Symposia from 2004 to 2008","Vol. 15 No. 3 (2008)",2009-04-17,687,713,,713,,0
8261,"The Design of a Graphics Engine for the Development of Virtual Reality Applications","Vol. 15 No. 3 (2008)",2009-04-17,876,3197,,3197,
8263,"Designing and implementing an Spatial Augmented Reality X-Ray","Vol. 15 No. 3 (2008)",2009-04-17,620,1384,,1384,
8265,"A Conceptual Image-Based Data Glove for Computer-Human Interaction","Vol. 15 No. 3 (2008)",2009-04-17,829,1952,,760,
8266,"A Software Framework to Create 3D Browser-Based Speech Enabled Applications","Vol. 15 No. 3 (2008)",2009-04-17,880,1338,,1338,
8441,"SWEETS: um Sistema de Recomendação de Especialistas aplicado a uma plataforma de Gestão de Conhecimento","Vol. 18 No. 1 (2011)",2011-05-11,813,947,,947,
8522,"Uma Revisão Sobre Combinação de Agrupamentos","Vol. 16 No. 2 (2009)",2010-03-31,940,1536,,1536,
8611,"Combinando Modelos de Interação para Melhorar a Coordenação em Sistemas Multiagente","Vol. 18 No. 1 (2011)",2011-05-11,829,661,,661,
9009,"Uma abordagem estrutural para calcular similaridade entre conceitos de ontologias","Vol. 17 No. 2 (2010)",2011-03-30,903,2207,,2207,
9644,"Aplicação de redes neurais ART e análise de textura para a classificação do estado de alteração de agregados minerais","Vol. 17 No. 1 (2010)",2011-03-30,786,1461,,1461,
10082,"Geração de Testes de Desempenho e Estresse a partir de Testes Funcionais","Vol. 17 No. 2 (2010)",2011-03-30,747,2889,,2889,
10385,"TSML: A XML-based Format for Exchange of Training Samples for Pattern Recognition in Remote Sensing Images","Vol. 17 No. 1 (2010)",2011-03-30,912,1349,,1349,
11066,"Implantação de Medição no Processo de Desenvolvimento de Software – Relato de Experiência e Lições Aprendidas","Vol. 17 No. 3 (2010)",2011-03-30,795,1383,,1383,
11221,"Identificação da Autoria de Manuscritos com Base em Atributos Genéticos e Genéricos da Escrita","Vol. 17 No. 2 (2010)",2011-03-30,1361,782,,782,
11296,"Ambiente Virtual Interativo com Colisão e Deformação de Objetos para Treinamento Médico","Vol. 18 No. 2 (2011)",2011-08-05,922,1246,,1246,
11384,"QOC*: utilizando Design Rationale como ferramenta para gerenciar conhecimento em projetos de software","Vol. 16 No. 2 (2009)",2010-03-31,1029,858,,858,
11467,"Uso da ferramenta PreText para mineração de textos extraídos do NCBI para estudo epistemológico da Informática em Saúde","Vol. 16 No. 1 (2009)",2010-03-08,931,1187,,1187,
11468,"ALUPAS: Avaliação de desempenho e consumo de energia de softwares para sistemas embarcados","Vol. 16 No. 1 (2009)",2010-03-08,1023,1204,,1204,
11469,"Avaliação Pró-ativa da Deterioração de Sistemas de Informação por meio de Medidas de Gestão","Vol. 16 No. 1 (2009)",2010-03-08,583,648,,648,
11471,"High Performance Computing: CUDA as a Supporting Technology for Next Generation Augmented Reality Applications","Vol. 16 No. 1 (2009)",2010-03-08,802,1436,1436,,
11473,"Efeitos Visuais, uma Abordagem a Partir do Processamento Digital de Imagens","Vol. 16 No. 1 (2009)",2010-03-08,1656,3814,,3814,
11477,"Tutorial: Introdução à Visão Computacional usando OpenCV","Vol. 16 No. 1 (2009)",2010-03-08,22926,27564,,27564,
11607,"Análise do Controle Motor com Interações usando Dispositivos Convencionais e Realidade Aumentada","Vol. 17 No. 2 (2010)",2011-03-30,1204,4449,,4449,
11631,"Variation Detection applied in User Signature Verification","Vol. 17 No. 1 (2010)",2011-03-30,811,756,,756,
11662,"Aprendizado e Controle de Robôs Móveis Autônomos Utilizando Atenção Visual","Vol. 17 No. 3 (2010)",2011-03-30,838,1460,,1460,
11695,"Estratégias de Atualização de Políticas para a Coordenação de Agentes Baseados em Enxames","Vol. 17 No. 3 (2010)",2011-03-30,558,568,,568,
12104,"Estimação de Probabilidade de Perda de Dados em Redes Através de Modelagem Multifractal de Tráfego e Teoria de Muitas Fontes","Vol. 18 No. 1 (2011)",2011-05-11,694,1378,,1378,
12119,"Desenvolvimento e Avaliação de um Protocolo Eletrônico para Atendimento e Monitoramento do Paciente com Doença Celíaca","Vol. 17 No. 2 (2010)",2011-03-30,6768,5946,,5946,
12327,"Snake-3D na Modelagem Tridimensional e Medição do Comprimento de Arcos Elétricos","Vol. 18 No. 1 (2011)",2011-05-11,736,720,,720,
12361,"Editorial: 20 anos da Revista de Informática Teórica e Aplicada","Vol. 16 No. 1 (2009)",2010-03-08,637,1232,,1232,
12362,"Prefácio à Seção Especial dos Tutoriais do SIBGRAPI'08","Vol. 16 No. 1 (2009)",2010-03-08,474,606,,606,
12509,"Quantools: A MDA transformation approach","Vol. 16 No. 2 (2009)",2010-03-31,704,847,847,,
12569,"HiME: Hierarchical i* Modeling Editor","Vol. 16 No. 2 (2009)",2010-03-31,907,926,926,,
12570,"An Ontology-Based Framework for Heterogeneous Data Sources Integration","Vol. 16 No. 2 (2009)",2010-03-31,880,1296,1296,,
12571,"A Temporal-Rule Based Verification System for Business Collaboration Reliability","Vol. 16 No. 2 (2009)",2010-03-31,709,866,866,,
12572,"Semantic Web and Knowledge Management in User Data Privacy","Vol. 16 No. 2 (2009)",2010-03-31,818,784,784,,
12573,"MatchMaking – A Tool to Match OWL Schemas","Vol. 16 No. 2 (2009)",2010-03-31,586,850,850,,
12576,"Web Information Extraction by Semantic Tagging","Vol. 16 No. 2 (2009)",2010-03-31,855,639,639,,
12577,"SAMSTARplus: An Automatic Tool for Generating Multi- Dimensional Schemas from an Entity-Relationship Diagram","Vol. 16 No. 2 (2009)",2010-03-31,930,1458,1458,,
12578,"An Approach for Reducing the Gap between BPMN Models and Implementation Artifacts","Vol. 16 No. 2 (2009)",2010-03-31,968,1273,1273,,
12579,"A Frame-Based System for Automatic Classification of Semi- Structured Data","Vol. 16 No. 2 (2009)",2010-03-31,734,722,722,,
12580,"Dealing with Uncertainty in Lexical Annotation","Vol. 16 No. 2 (2009)",2010-03-31,764,845,845,,
12581,"Towards Generating Richer Code by Binding Security Abstractions to BPMN Task Types","Vol. 16 No. 2 (2009)",2010-03-31,846,1078,1078,,
12582,"An Eclipse-based Tool for Model Driven Web Applications with Personalization Support","Vol. 16 No. 2 (2009)",2010-03-31,1348,1073,308,,765
12583,"Conceptual Modeling: the Linguistic Approach","Vol. 16 No. 2 (2009)",2010-03-31,851,781,781,,
12584,"UMLtoSBVR: An SBVR-based tool to validate UML conceptual schemas","Vol. 16 No. 2 (2009)",2010-03-31,988,842,842,,
12585,"The Animated Database Courseware (ADbC) and the Database Design Module","Vol. 16 No. 2 (2009)",2010-03-31,670,1048,1048,,
12586,"Aumento de Resolução Temporal de Sequências de Imagens do Trato Vocal por meio de Registro das Imagens","Vol. 16 No. 2 (2009)",2010-03-31,691,1068,,1068,
12587,"Eliminação de Ruído Impulsivo Usando um Filtro Mediano Seletivo e Difusão Isotrópica","Vol. 16 No. 2 (2009)",2010-03-31,877,3584,,3584,
